,Genre,Gross,actors,directors,producers,rel_date,title,writers
550,Drama,2444000,Alexander Skarsgård/Ellen Page/Brit Marling/Shiloh Fernandez,Zal Batmanglij,Brit Marling/Ridley Scott,2013-05-31,The East,Brit Marling/Zal Batmanglij
551,Sci-Fi,22309400,George Clooney/Viola Davis,Steven Soderbergh,James Cameron/Gregory Jacobs/Jon Landau,2002-11-27,Solaris,Steven Soderbergh
552,Western,54434400,Samuel L. Jackson/Kurt Russell/Channing Tatum,Quentin Tarantino,Stacey Sher,2015-12-25,The Hateful Eight,Quentin Tarantino
553,Animation,81721700,,Will Finn/David Silverman,Jeffrey Katzenberg,2000-03-31,The Road to El Dorado,Ted Elliott/Terry Rossio
554,Unknown,224400,Colin Farrell,Joel Schumacher,Beau Flynn/Arnon Milchan,2000-10-06,Tigerland,
555,Period Drama,8887000,Kenneth Branagh/Kate Winslet/Billy Crystal,Kenneth Branagh,,1996-12-27,Hamlet,
556,Sports Drama,59986900,Kevin Costner/John C. Reilly/Jena Malone/Brian Cox,Sam Raimi,Marc Abraham,1999-09-17,For Love of the Game,Dana Stevens
557,Sports Drama,6458800,Gerard Butler,Michael Apted/Curtis Hanson,Gerard Butler/Curtis Hanson,2012-10-26,Chasing Mavericks,Kario Salem
558,Crime Drama,42307300,Matt Damon/Edward Norton/Famke Janssen/John Malkovich,John Dahl,Bobby Cohen,1998-09-11,Rounders,Brian Koppelman/David Levien
559,Sci-Fi Comedy,283825600,Tommy Lee Jones/Will Smith/Johnny Knoxville/Rosario Dawson,Barry Sonnenfeld,Steven Spielberg,2002-07-03,Men in Black II,
560,Romance,25499400,Alex Pettyfer/Rhys Wakefield,Shana Feste,Pamela Abdy/Josh Schwartz/Scott Stuber,2014-02-14,Endless Love,Shana Feste/Joshua Safran
561,Action / Adventure,316223200,Will Smith/Margot Robbie/Jared Leto/Jai Courtney/Cara Delevigne/Viola Davis/Common,David Ayer,Charles Roven/Deborah Snyder/Zack Snyder,2016-08-05,Suicide Squad,David Ayer
562,Action,110600,Keanu Reeves,Keanu Reeves,,2013-11-01,Man of Tai Chi,
